province,year,area,food_spend,nonfood_spend,total_spend,engel_ratio,internet_pct,mobile_pct,computer_pct,digital_index_pct,calorie_per_capita,protein_per_capita,poverty_rate,gini,vulnerability_score,_inferred_from_2023
PAPUA TENGAH,2024,rural,,,,,19.14,33.58,1.49,18.07,,,,,,
PAPUA TENGAH,2024,total,887039.0,600649.0,1487688.0,0.5962533810852814,36.08,48.19,7.88,30.716666666666665,1696.02,43.48,,,0.755218220167636,
PAPUA TENGAH,2024,urban,,,,,95.0,99.0,30.12,74.70666666666666,,,,,,
RIAU,2024,rural,,,,,91.5,94.89,12.62,66.33666666666666,,,,,,1
RIAU,2024,total,776145.0,751405.0,1527549.0,0.5080982672241611,93.25,96.11,18.65,69.33666666666667,2048.04,59.97,,,0.19417147919191455,1
RIAU,2024,urban,,,,,95.86,98.17,27.63,73.88666666666667,,,,,,1
RIAU,2024,rural,,,,,92.12,97.15,11.5,66.92333333333333,,,,,,
RIAU,2024,total,824229.0,738936.0,1563165.0,0.5272821487175058,94.16,97.75,17.98,69.96333333333332,2017.1,59.16,,,0.22650317927179706,
RIAU,2024,urban,,,,,97.26,98.66,27.82,74.58,,,,,,
SULAWESI BARAT,2024,rural,,,,,83.23,90.77,9.38,61.126666666666665,,,,,,1
SULAWESI BARAT,2024,total,530104.0,506416.0,1036520.0,0.5114266970246595,84.56,91.55,12.62,62.910000000000004,2099.73,59.94,,,0.22957736872666024,1
SULAWESI BARAT,2024,urban,,,,,89.63,94.98,24.93,69.84666666666668,,,,,,1
SULAWESI BARAT,2024,rural,,,,,88.64,94.32,10.48,64.47999999999999,,,,,,
SULAWESI BARAT,2024,total,579734.0,529855.0,1109589.0,0.5224763403386299,89.67,94.95,13.98,66.2,2068.7,60.03,,,0.22529683124491315,
SULAWESI BARAT,2024,urban,,,,,93.89,97.53,28.37,73.26333333333334,,,,,,
SULAWESI SELATAN,2024,rural,,,,,85.96,91.49,12.99,63.48,,,,,,1
SULAWESI SELATAN,2024,total,597180.0,655371.0,1252551.0,0.47677100573150316,89.52,93.06,20.51,67.69666666666666,2110.28,64.14,,,0.16578581625323777,1
SULAWESI SELATAN,2024,urban,,,,,93.67,96.15,29.28,73.03333333333333,,,,,,1
SULAWESI SELATAN,2024,rural,,,,,88.59,95.42,13.71,65.90666666666667,,,,,,
SULAWESI SELATAN,2024,total,636655.0,646426.0,1283081.0,0.4961923682136981,92.18,96.67,22.13,70.32666666666667,2063.99,63.63,,,0.17526767064231077,
SULAWESI SELATAN,2024,urban,,,,,96.23,98.07,31.61,75.30333333333334,,,,,,
SULAWESI TENGAH,2024,rural,,,,,81.03,86.69,9.17,58.96333333333333,,,,,,1
SULAWESI TENGAH,2024,total,602468.0,571212.0,1173679.0,0.5133158214469203,84.61,88.3,15.67,62.85999999999999,2055.42,59.04,,,0.246897666948935,1
SULAWESI TENGAH,2024,urban,,,,,91.86,93.99,28.81,71.55333333333333,,,,,,1
SULAWESI TENGAH,2024,rural,,,,,84.59,91.66,9.52,61.92333333333334,,,,,,
SULAWESI TENGAH,2024,total,644418.0,587035.0,1231453.0,0.5232988997550049,87.94,93.4,16.28,65.87333333333333,2032.8,60.58,,,0.22781842097179228,
SULAWESI TENGAH,2024,urban,,,,,94.62,96.87,29.76,73.75,,,,,,
SULAWESI TENGGARA,2024,rural,,,,,86.14,93.88,12.54,64.18666666666665,,,,,,1
SULAWESI TENGGARA,2024,total,561452.0,611288.0,1172739.0,0.4787527318525264,88.69,94.58,19.4,67.55666666666666,2019.29,61.37,,,0.1687296219841333,1
SULAWESI TENGGARA,2024,urban,,,,,92.83,97.14,30.48,73.48333333333333,,,,,,1
SULAWESI TENGGARA,2024,rural,,,,,89.78,96.82,12.35,66.31666666666666,,,,,,
SULAWESI TENGGARA,2024,total,604047.0,623116.0,1227163.0,0.49223045349313826,91.7,97.23,19.77,69.56666666666668,1955.09,60.98,,,0.17441496850522442,
SULAWESI TENGGARA,2024,urban,,,,,94.65,97.86,31.14,74.55,,,,,,
