province,area,buah,daging,ikan,rokok,sayur,telur_susu,gizi_total,rokok_pct_of_gizi,rokok_minus_sayur,rokok_vs_sayur_ratio,gizi_deficit_index,rokok_rank
Riau,urban,40926.0,39869.0,,107812.0,83745.0,48782.0,213322.0,50.53955991412044,24067.0,1.287384321452027,-0.9786480169183394,6
Sulawesi Barat,rural,33592.0,11015.0,,87683.0,37214.0,19173.0,100994.0,86.82000910945204,50469.0,2.3561831568764444,-0.151808218240708,25
Sulawesi Barat,total,37037.0,11769.0,,88088.0,38302.0,21606.0,108714.0,81.02728259469801,49786.0,2.299827685238369,-0.2341522114249387,24
Sulawesi Barat,urban,50589.0,14735.0,,89678.0,42584.0,31180.0,139088.0,64.47572759691707,47094.0,2.1059083223746007,-0.5509712527041192,18
Sulawesi Selatan,rural,40179.0,16259.0,,84234.0,35544.0,25328.0,117310.0,71.80462023697895,48690.0,2.3698514517218094,-0.3926680437827956,29
Sulawesi Selatan,total,44077.0,20362.0,,82051.0,40379.0,31314.0,136132.0,60.27311726853348,41672.0,2.032021595383739,-0.6591144532059329,28
Sulawesi Selatan,urban,48418.0,24933.0,,79620.0,45764.0,37981.0,157096.0,50.68238529306921,33856.0,1.7397954724237392,-0.9730720924390857,30
Sulawesi Tengah,rural,37151.0,17041.0,,102090.0,47488.0,23840.0,125520.0,81.33365200764818,54602.0,2.1498062668463613,-0.2295033793711431,17
Sulawesi Tengah,total,39985.0,18499.0,,96331.0,49269.0,27608.0,135361.0,71.16599315903399,47062.0,1.9552050985406646,-0.4051655230403505,18
Sulawesi Tengah,urban,45713.0,21447.0,,84690.0,52868.0,35224.0,155252.0,54.55002189987891,31822.0,1.6019142014072785,-0.833179832329673,25
Sulawesi Tenggara,rural,39480.0,11173.0,,80748.0,37402.0,22871.0,110926.0,72.79447559634352,43346.0,2.1589219827816692,-0.3737306187150146,31
Sulawesi Tenggara,total,43095.0,12257.0,,77331.0,40294.0,28865.0,124511.0,62.10776557894483,37037.0,1.9191691070630863,-0.6101046152254593,34
Sulawesi Tenggara,urban,48777.0,13962.0,,71960.0,44839.0,38288.0,145866.0,49.33294941933007,27121.0,1.6048529182185152,-1.0270428015564201,34
