province,year,area,gini
SUMATERA UTARA,2024,urban,0.333
SUMATERA UTARA,2024,rural,0.236
SUMATERA UTARA,2024,total,0.306
SUMATERA BARAT,2024,urban,0.313
SUMATERA BARAT,2024,rural,0.226
SUMATERA BARAT,2024,total,0.287
RIAU,2024,urban,0.333
RIAU,2024,rural,0.271
RIAU,2024,total,0.306
JAMBI,2024,urban,0.353
JAMBI,2024,rural,0.279
JAMBI,2024,total,0.315
SUMATERA SELATAN,2024,urban,0.357
SUMATERA SELATAN,2024,rural,0.3
SUMATERA SELATAN,2024,total,0.331
BENGKULU,2024,urban,0.409
BENGKULU,2024,rural,0.278
BENGKULU,2024,total,0.343
LAMPUNG,2024,urban,0.329
LAMPUNG,2024,rural,0.27
LAMPUNG,2024,total,0.301
KEP. BANGKA BELITUNG,2024,urban,0.251
KEP. BANGKA BELITUNG,2024,rural,0.189
KEP. BANGKA BELITUNG,2024,total,0.235
KEP. RIAU,2024,urban,0.36
KEP. RIAU,2024,rural,0.236
KEP. RIAU,2024,total,0.357
DKI JAKARTA,2024,urban,0.431
DKI JAKARTA,2024,rural,
DKI JAKARTA,2024,total,0.431
JAWA BARAT,2024,urban,0.439
JAWA BARAT,2024,rural,0.327
JAWA BARAT,2024,total,0.428
JAWA TENGAH,2024,urban,0.392
JAWA TENGAH,2024,rural,0.317
JAWA TENGAH,2024,total,0.364
DI YOGYAKARTA,2024,urban,0.429
DI YOGYAKARTA,2024,rural,0.355
DI YOGYAKARTA,2024,total,0.428
JAWA TIMUR,2024,urban,0.388
JAWA TIMUR,2024,rural,0.332
JAWA TIMUR,2024,total,0.373
BANTEN,2024,urban,0.361
BANTEN,2024,rural,0.246
BANTEN,2024,total,0.359
BALI,2024,urban,0.352
BALI,2024,rural,0.285
BALI,2024,total,0.348
NUSA TENGGARA BARAT,2024,urban,0.388
NUSA TENGGARA BARAT,2024,rural,0.32
NUSA TENGGARA BARAT,2024,total,0.364
NUSA TENGGARA TIMUR,2024,urban,0.282
NUSA TENGGARA TIMUR,2024,rural,0.306
NUSA TENGGARA TIMUR,2024,total,0.316
KALIMANTAN BARAT,2024,urban,0.341
KALIMANTAN BARAT,2024,rural,0.258
KALIMANTAN BARAT,2024,total,0.314
KALIMANTAN TENGAH,2024,urban,0.322
KALIMANTAN TENGAH,2024,rural,0.282
KALIMANTAN TENGAH,2024,total,0.304
KALIMANTAN SELATAN,2024,urban,0.326
KALIMANTAN SELATAN,2024,rural,0.259
KALIMANTAN SELATAN,2024,total,0.298
KALIMANTAN TIMUR,2024,urban,0.315
KALIMANTAN TIMUR,2024,rural,0.282
KALIMANTAN TIMUR,2024,total,0.31
KALIMANTAN UTARA,2024,urban,0.245
KALIMANTAN UTARA,2024,rural,0.265
KALIMANTAN UTARA,2024,total,0.259
SULAWESI UTARA,2024,urban,0.351
SULAWESI UTARA,2024,rural,0.331
SULAWESI UTARA,2024,total,0.347
SULAWESI TENGAH,2024,urban,0.34
SULAWESI TENGAH,2024,rural,0.271
SULAWESI TENGAH,2024,total,0.309
SULAWESI SELATAN,2024,urban,0.369
SULAWESI SELATAN,2024,rural,0.33
SULAWESI SELATAN,2024,total,0.36
SULAWESI TENGGARA,2024,urban,0.374
SULAWESI TENGGARA,2024,rural,0.337
SULAWESI TENGGARA,2024,total,0.365
GORONTALO,2024,urban,0.4
GORONTALO,2024,rural,0.402
GORONTALO,2024,total,0.413
SULAWESI BARAT,2024,urban,0.404
SULAWESI BARAT,2024,rural,0.296
SULAWESI BARAT,2024,total,0.33
MALUKU,2024,urban,0.284
MALUKU,2024,rural,0.236
MALUKU,2024,total,0.291
MALUKU UTARA,2024,urban,0.328
MALUKU UTARA,2024,rural,0.243
MALUKU UTARA,2024,total,0.296
PAPUA BARAT,2024,urban,0.296
PAPUA BARAT,2024,rural,0.416
PAPUA BARAT,2024,total,0.385
PAPUA BARAT DAYA,2024,urban,0.262
PAPUA BARAT DAYA,2024,rural,0.418
PAPUA BARAT DAYA,2024,total,0.347
PAPUA,2024,urban,0.322
PAPUA,2024,rural,0.505
PAPUA,2024,total,0.405
PAPUA SELATAN,2024,urban,0.351
PAPUA SELATAN,2024,rural,0.429
PAPUA SELATAN,2024,total,0.424
PAPUA TENGAH,2024,urban,0.253
PAPUA TENGAH,2024,rural,0.374
PAPUA TENGAH,2024,total,0.355
PAPUA PEGUNUNGAN,2024,urban,0.244
PAPUA PEGUNUNGAN,2024,rural,0.349
PAPUA PEGUNUNGAN,2024,total,0.346
INDONESIA,2024,urban,0.402
INDONESIA,2024,rural,0.308
INDONESIA,2024,total,0.381
