province,year,area,poverty_rate,_inferred_from_2023
NUSA TENGGARA TIMUR,2024,urban,9.12,1
NUSA TENGGARA TIMUR,2024,rural,23.76,1
NUSA TENGGARA TIMUR,2024,total,19.96,1
KALIMANTAN BARAT,2024,urban,4.44,1
KALIMANTAN BARAT,2024,rural,8.07,1
KALIMANTAN BARAT,2024,total,6.71,1
KALIMANTAN TENGAH,2024,urban,4.78,1
KALIMANTAN TENGAH,2024,rural,5.35,1
KALIMANTAN TENGAH,2024,total,5.11,1
KALIMANTAN SELATAN,2024,urban,3.84,1
KALIMANTAN SELATAN,2024,rural,4.72,1
KALIMANTAN SELATAN,2024,total,4.29,1
KALIMANTAN TIMUR,2024,urban,4.68,1
KALIMANTAN TIMUR,2024,rural,9.28,1
KALIMANTAN TIMUR,2024,total,6.11,1
KALIMANTAN UTARA,2024,urban,5.18,1
KALIMANTAN UTARA,2024,rural,8.74,1
KALIMANTAN UTARA,2024,total,6.45,1
SULAWESI UTARA,2024,urban,4.91,1
SULAWESI UTARA,2024,rural,10.38,1
SULAWESI UTARA,2024,total,7.38,1
SULAWESI TENGAH,2024,urban,8.9,1
SULAWESI TENGAH,2024,rural,14.09,1
SULAWESI TENGAH,2024,total,12.41,1
SULAWESI SELATAN,2024,urban,5.01,1
SULAWESI SELATAN,2024,rural,11.91,1
SULAWESI SELATAN,2024,total,8.7,1
SULAWESI TENGGARA,2024,urban,7.4,1
SULAWESI TENGGARA,2024,rural,13.94,1
SULAWESI TENGGARA,2024,total,11.43,1
GORONTALO,2024,urban,4.47,1
GORONTALO,2024,rural,23.73,1
GORONTALO,2024,total,15.15,1
SULAWESI BARAT,2024,urban,9.08,1
SULAWESI BARAT,2024,rural,12.1,1
SULAWESI BARAT,2024,total,11.49,1
MALUKU,2024,urban,5.49,1
MALUKU,2024,rural,24.64,1
MALUKU,2024,total,16.42,1
MALUKU UTARA,2024,urban,6.23,1
MALUKU UTARA,2024,rural,6.55,1
MALUKU UTARA,2024,total,6.46,1
PAPUA BARAT,2024,urban,8.23,1
PAPUA BARAT,2024,rural,29.2,1
PAPUA BARAT,2024,total,20.49,1
PAPUA BARAT DAYA,2024,urban,,1
PAPUA BARAT DAYA,2024,rural,,1
PAPUA BARAT DAYA,2024,total,,1
PAPUA,2024,urban,5.68,1
PAPUA,2024,rural,34.49,1
PAPUA,2024,total,26.03,1
PAPUA SELATAN,2024,urban,,1
PAPUA SELATAN,2024,rural,,1
PAPUA SELATAN,2024,total,,1
PAPUA TENGAH,2024,urban,,1
PAPUA TENGAH,2024,rural,,1
PAPUA TENGAH,2024,total,,1
PAPUA PEGUNUNGAN,2024,urban,,1
PAPUA PEGUNUNGAN,2024,rural,,1
PAPUA PEGUNUNGAN,2024,total,,1
INDONESIA,2024,urban,7.29,1
INDONESIA,2024,rural,12.22,1
INDONESIA,2024,total,9.36,1
