province,area,buah,daging,ikan,rokok,sayur,telur_susu,gizi_total,rokok_pct_of_gizi,rokok_minus_sayur,rokok_vs_sayur_ratio,gizi_deficit_index,rokok_rank,calorie_per_capita,protein_per_capita,poverty_rate,gini,internet_pct,mobile_pct,computer_pct,digital_index_pct,population_thousands,smoking_10_18_daily_pct,smoking_10plus_daily_pct,smoking_indoor_pct,passive_smoke_daily_pct,mdd_6_23_pct,mmf_6_23_pct,mad_6_23_pct,animal_protein_6_23_pct,stunting_0_59_total_pct,underweight_0_59_total_pct,wasting_0_59_total_pct,stunting_knowledge_correct_pct,stunting_knowledge_weight_not_gain_pct,stunting_knowledge_failed_growth_pct,stunting_knowledge_stunted_pct,stunting_knowledge_chronic_malnutrition_pct,smoking_10_18_current_pct,smoking_10_18_never_pct,smoking_10plus_current_pct,smoking_10plus_never_pct,cigarettes_per_day,cigarettes_per_week_occasional,cigarette_pack_price_rupiah,smoking_start_10_14_pct,smoking_start_15_19_pct,fish_daily_pct,fish_weekly_pct,fish_rare_pct,egg_daily_pct,egg_weekly_pct,egg_rare_pct,milk_daily_pct,milk_weekly_pct,milk_rare_pct,vulnerability_score,policy_priority_score,ski_health_context_score
Bengkulu,total,43581.0,31865.0,,114951.0,83413.0,32121.0,190980.0,60.19007225887527,31538.0,1.378094541618213,-0.6614035545580291,8,2032.04,60.58,12.52,0.343,90.62,94.92,19.79,68.44333333333334,2112.2,4.3,23.5,86.0,30.9,71.6,56.7,46.3,84.5,20.2,10.8,7.2,77.0,65.6,69.9,45.3,52.0,6.8,93.2,27.9,71.0,14.19,12.63,19255.0,19.4,62.7,7.8,78.9,13.3,9.8,81.8,8.4,7.9,30.8,61.3,40.16365763654664,41.58774445798513,60.652480487304096
Bengkulu,urban,51504.0,38927.0,,99405.0,81117.0,41667.0,213215.0,46.62195436531201,18288.0,1.225452124708754,-1.1449122277551431,10,2032.04,60.58,12.52,0.343,90.62,94.92,19.79,68.44333333333334,2112.2,4.3,23.5,86.0,30.9,71.6,56.7,46.3,84.5,20.2,10.8,7.2,77.0,65.6,69.9,45.3,52.0,6.8,93.2,27.9,71.0,14.19,12.63,19255.0,19.4,62.7,7.8,78.9,13.3,9.8,81.8,8.4,7.9,30.8,61.3,35.27417126704728,38.65405263628551,60.652480487304096
Gorontalo,rural,30269.0,13809.0,,84187.0,45609.0,22415.0,112102.0,75.09857094431857,38578.0,1.845841829463483,-0.33158326107356245,30,1938.17,58.12,13.87,0.413,90.17,94.98,17.23,67.46,1227.8,3.3,22.3,91.9,37.4,46.0,55.7,27.2,70.6,26.8,22.0,,72.7,50.7,56.0,53.0,52.7,6.0,93.0,28.0,70.3,13.11,10.46,23889.0,20.3,59.5,59.7,33.2,7.1,10.9,73.3,15.8,5.3,31.2,63.5,49.203670409056485,45.99671533583727,58.888495570705146
Gorontalo,total,33568.0,14554.0,,85726.0,47917.0,26648.0,122687.0,69.873743754432,37809.0,1.7890519022476365,-0.4311527424585307,26,1938.17,58.12,13.87,0.413,90.17,94.98,17.23,67.46,1227.8,3.3,22.3,91.9,37.4,46.0,55.7,27.2,70.6,26.8,22.0,,72.7,50.7,56.0,53.0,52.7,6.0,93.0,28.0,70.3,13.11,10.46,23889.0,20.3,59.5,59.7,33.2,7.1,10.9,73.3,15.8,5.3,31.2,63.5,47.3208211053915,44.86700575363828,58.888495570705146
Gorontalo,urban,37497.0,15441.0,,87561.0,50668.0,31692.0,135298.0,64.71714289937766,36893.0,1.728132154416989,-0.5451856420095704,21,1938.17,58.12,13.87,0.413,90.17,94.98,17.23,67.46,1227.8,3.3,22.3,91.9,37.4,46.0,55.7,27.2,70.6,26.8,22.0,,72.7,50.7,56.0,53.0,52.7,6.0,93.0,28.0,70.3,13.11,10.46,23889.0,20.3,59.5,59.7,33.2,7.1,10.9,73.3,15.8,5.3,31.2,63.5,45.46255824303105,43.75204803622201,58.888495570705146
Jakarta Raya,total,60669.0,73054.0,,87132.0,77147.0,62990.0,273860.0,31.816256481413863,9985.0,1.1294282344096336,-2.143047330487077,25,2073.28,68.15,4.14,0.431,98.18,98.49,39.33,78.66666666666667,10684.9,2.4,19.1,54.2,21.4,71.3,69.1,54.2,84.4,17.6,14.6,10.1,66.6,49.6,49.8,42.2,47.6,5.3,93.6,24.1,71.2,11.53,8.51,22229.0,18.6,55.6,7.2,70.7,22.0,30.5,65.5,4.0,15.3,34.3,50.3,14.702401381644695,22.551737272821907,37.678472315296204
Jakarta Raya,urban,60669.0,73054.0,,87132.0,77147.0,62990.0,273860.0,31.816256481413863,9985.0,1.1294282344096336,-2.143047330487077,23,2073.28,68.15,4.14,0.431,98.18,98.49,39.33,78.66666666666667,10684.9,2.4,19.1,54.2,21.4,71.3,69.1,54.2,84.4,17.6,14.6,10.1,66.6,49.6,49.8,42.2,47.6,5.3,93.6,24.1,71.2,11.53,8.51,22229.0,18.6,55.6,7.2,70.7,22.0,30.5,65.5,4.0,15.3,34.3,50.3,14.702401381644695,22.551737272821907,37.678472315296204
Jambi,rural,57570.0,32742.0,,123593.0,86544.0,29382.0,206238.0,59.92736547096074,37049.0,1.4280943797374746,-0.6686867379220506,7,2011.88,58.73,7.26,0.315,90.59,95.61,17.6,67.93333333333332,3724.3,1.7,16.8,86.8,21.2,67.0,41.0,30.0,82.2,13.5,8.9,6.6,82.9,74.7,69.9,59.7,55.3,3.2,96.7,21.0,77.8,15.29,12.83,22543.0,15.9,61.7,6.9,72.7,20.4,10.8,79.9,9.2,6.5,39.0,54.5,35.5307864107704,33.2134132222795,40.66948078115562
Jambi,total,56798.0,34690.0,,114981.0,83946.0,34063.0,209497.0,54.88431815252724,31035.0,1.3697019512543778,-0.8220140718901384,7,2011.88,58.73,7.26,0.315,90.59,95.61,17.6,67.93333333333332,3724.3,1.7,16.8,86.8,21.2,67.0,41.0,30.0,82.2,13.5,8.9,6.6,82.9,74.7,69.9,59.7,55.3,3.2,96.7,21.0,77.8,15.29,12.83,22543.0,15.9,61.7,6.9,72.7,20.4,10.8,79.9,9.2,6.5,39.0,54.5,33.71344436542168,32.12300799507027,40.66948078115562
Jambi,urban,55254.0,38583.0,,97765.0,78751.0,43423.0,216011.0,45.259269203883136,19014.0,1.2414445530850402,-1.2094921495422697,11,2011.88,58.73,7.26,0.315,90.59,95.61,17.6,67.93333333333332,3724.3,1.7,16.8,86.8,21.2,67.0,41.0,30.0,82.2,13.5,8.9,6.6,82.9,74.7,69.9,59.7,55.3,3.2,96.7,21.0,77.8,15.29,12.83,22543.0,15.9,61.7,6.9,72.7,20.4,10.8,79.9,9.2,6.5,39.0,54.5,30.24490539713297,30.041884614097043,40.66948078115562
