city,group,sub_group,year,value
KOTA SIBOLGA,2020,Rokok dan Tembakau,2020,0.0683333333333333
KOTA PEMATANG SIANTAR,2020,Rokok dan Tembakau,2020,0.5608333333333333
KOTA MEDAN,2020,Rokok dan Tembakau,2020,0.4258333333333333
KOTA PADANGSIDIMPUAN,2020,Rokok dan Tembakau,2020,0.5191666666666667
KOTA GUNUNGSITOLI,2020,Rokok dan Tembakau,2020,0.7533333333333334
KOTA PADANG,2020,Rokok dan Tembakau,2020,0.6891666666666666
KOTA BUKITTINGGI,2020,Rokok dan Tembakau,2020,0.6441666666666667
TEMBILAHAN,2020,Rokok dan Tembakau,2020,0.6041666666666666
KOTA PEKANBARU,2020,Rokok dan Tembakau,2020,0.525
KOTA DUMAI,2020,Rokok dan Tembakau,2020,0.4791666666666667
BUNGO,2020,Rokok dan Tembakau,2020,0.4175
KOTA JAMBI,2020,Rokok dan Tembakau,2020,0.8283333333333333
KOTA PALEMBANG,2020,Rokok dan Tembakau,2020,0.5516666666666666
KOTA LUBUKLINGGAU,2020,Rokok dan Tembakau,2020,0.3066666666666666
KOTA BENGKULU,2020,Rokok dan Tembakau,2020,0.345
KOTA BANDAR LAMPUNG,2020,Rokok dan Tembakau,2020,0.4749999999999999
KOTA METRO,2020,Rokok dan Tembakau,2020,0.4683333333333333
TANJUNG PANDAN,2020,Rokok dan Tembakau,2020,0.8583333333333334
KOTA PANGKAL PINANG,2020,Rokok dan Tembakau,2020,0.395
KOTA BATAM,2020,Rokok dan Tembakau,2020,0.7391666666666666
KOTA TANJUNG PINANG,2020,Rokok dan Tembakau,2020,0.4916666666666667
DKI JAKARTA,2020,Rokok dan Tembakau,2020,1.0125
KOTA BOGOR,2020,Rokok dan Tembakau,2020,0.2716666666666666
KOTA SUKABUMI,2020,Rokok dan Tembakau,2020,0.87
KOTA BANDUNG,2020,Rokok dan Tembakau,2020,0.5533333333333333
KOTA CIREBON,2020,Rokok dan Tembakau,2020,0.145
KOTA BEKASI,2020,Rokok dan Tembakau,2020,0.6708333333333334
KOTA DEPOK,2020,Rokok dan Tembakau,2020,0.5133333333333333
KOTA TASIKMALAYA,2020,Rokok dan Tembakau,2020,0.6366666666666667
CILACAP,2020,Rokok dan Tembakau,2020,0.4299999999999999
PURWOKERTO,2020,Rokok dan Tembakau,2020,0.5433333333333333
KUDUS,2020,Rokok dan Tembakau,2020,0.6408333333333333
KOTA SURAKARTA,2020,Rokok dan Tembakau,2020,0.4808333333333333
KOTA SEMARANG,2020,Rokok dan Tembakau,2020,0.355
KOTA TEGAL,2020,Rokok dan Tembakau,2020,0.4041666666666666
KOTA YOGYAKARTA,2020,Rokok dan Tembakau,2020,0.7133333333333334
JEMBER,2020,Rokok dan Tembakau,2020,1.0175
BANYUWANGI,2020,Rokok dan Tembakau,2020,0.4816666666666667
SUMENEP,2020,Rokok dan Tembakau,2020,0.275
KOTA KEDIRI,2020,Rokok dan Tembakau,2020,0.3775
KOTA MALANG,2020,Rokok dan Tembakau,2020,0.8091666666666666
KOTA PROBOLINGGO,2020,Rokok dan Tembakau,2020,0.2225
KOTA MADIUN,2020,Rokok dan Tembakau,2020,0.6208333333333333
KOTA SURABAYA,2020,Rokok dan Tembakau,2020,0.4266666666666667
KOTA TANGERANG,2020,Rokok dan Tembakau,2020,0.2916666666666667
KOTA CILEGON,2020,Rokok dan Tembakau,2020,0.7966666666666667
KOTA SERANG,2020,Rokok dan Tembakau,2020,0.4566666666666666
SINGARAJA,2020,Rokok dan Tembakau,2020,0.595
KOTA DENPASAR,2020,Rokok dan Tembakau,2020,0.2716666666666666
KOTA MATARAM,2020,Rokok dan Tembakau,2020,0.4833333333333333
KOTA BIMA,2020,Rokok dan Tembakau,2020,0.5025000000000001
WAINGAPU,2020,Rokok dan Tembakau,2020,0.2591666666666666
MAUMERE,2020,Rokok dan Tembakau,2020,0.5941666666666666
KOTA KUPANG,2020,Rokok dan Tembakau,2020,0.8200000000000002
SINTANG,2020,Rokok dan Tembakau,2020,0.7008333333333333
KOTA PONTIANAK,2020,Rokok dan Tembakau,2020,0.3408333333333333
KOTA SINGKAWANG,2020,Rokok dan Tembakau,2020,0.4675
SAMPIT,2020,Rokok dan Tembakau,2020,0.6908333333333333
KOTA PALANGKA RAYA,2020,Rokok dan Tembakau,2020,0.5091666666666667
KOTA BARU,2020,Rokok dan Tembakau,2020,0.5383333333333333
TANJUNG,2020,Rokok dan Tembakau,2020,0.665
KOTA BANJARMASIN,2020,Rokok dan Tembakau,2020,0.3791666666666666
KOTA BALIKPAPAN,2020,Rokok dan Tembakau,2020,0.305
KOTA SAMARINDA,2020,Rokok dan Tembakau,2020,0.5216666666666667
TANJUNG SELOR,2020,Rokok dan Tembakau,2020,0.9591666666666664
KOTA TARAKAN,2020,Rokok dan Tembakau,2020,0.4308333333333334
KOTA MANADO,2020,Rokok dan Tembakau,2020,0.1566666666666666
KOTA KOTAMOBAGU,2020,Rokok dan Tembakau,2020,0.6066666666666666
LUWUK,2020,Rokok dan Tembakau,2020,0.6758333333333333
KOTA PALU,2020,Rokok dan Tembakau,2020,0.6433333333333334
BULUKUMBA,2020,Rokok dan Tembakau,2020,0.1408333333333333
WATAMPONE,2020,Rokok dan Tembakau,2020,0.4433333333333333
KOTA MAKASSAR,2020,Rokok dan Tembakau,2020,0.5741666666666666
KOTA PARE-PARE,2020,Rokok dan Tembakau,2020,0.6341666666666667
KOTA PALOPO,2020,Rokok dan Tembakau,2020,0.4141666666666666
