city,group,sub_group,year,value
KOTA BANDA ACEH,2020,Minuman yang Tidak Beralkohol,2020,103.24416666666669
KOTA LHOKSEUMAWE,2020,Minuman yang Tidak Beralkohol,2020,106.84916666666668
KOTA SIBOLGA,2020,Minuman yang Tidak Beralkohol,2020,103.4683333333333
KOTA PEMATANG SIANTAR,2020,Minuman yang Tidak Beralkohol,2020,102.875
KOTA MEDAN,2020,Minuman yang Tidak Beralkohol,2020,100.8275
KOTA PADANGSIDIMPUAN,2020,Minuman yang Tidak Beralkohol,2020,103.78416666666668
KOTA GUNUNGSITOLI,2020,Minuman yang Tidak Beralkohol,2020,101.95000000000005
KOTA PADANG,2020,Minuman yang Tidak Beralkohol,2020,112.52583333333332
KOTA BUKITTINGGI,2020,Minuman yang Tidak Beralkohol,2020,105.4275
TEMBILAHAN,2020,Minuman yang Tidak Beralkohol,2020,102.77500000000002
KOTA PEKANBARU,2020,Minuman yang Tidak Beralkohol,2020,104.06
KOTA DUMAI,2020,Minuman yang Tidak Beralkohol,2020,103.04916666666668
BUNGO,2020,Minuman yang Tidak Beralkohol,2020,102.57583333333332
KOTA JAMBI,2020,Minuman yang Tidak Beralkohol,2020,101.09416666666668
KOTA PALEMBANG,2020,Minuman yang Tidak Beralkohol,2020,109.495
KOTA LUBUKLINGGAU,2020,Minuman yang Tidak Beralkohol,2020,117.82833333333332
KOTA BENGKULU,2020,Minuman yang Tidak Beralkohol,2020,108.4875
KOTA BANDAR LAMPUNG,2020,Minuman yang Tidak Beralkohol,2020,107.98583333333336
KOTA METRO,2020,Minuman yang Tidak Beralkohol,2020,103.6091666666667
TANJUNG PANDAN,2020,Minuman yang Tidak Beralkohol,2020,100.2575
KOTA PANGKAL PINANG,2020,Minuman yang Tidak Beralkohol,2020,114.915
KOTA BATAM,2020,Minuman yang Tidak Beralkohol,2020,103.19
KOTA TANJUNG PINANG,2020,Minuman yang Tidak Beralkohol,2020,102.4425
DKI JAKARTA,2020,Minuman yang Tidak Beralkohol,2020,109.97833333333334
KOTA BOGOR,2020,Minuman yang Tidak Beralkohol,2020,112.45916666666666
KOTA SUKABUMI,2020,Minuman yang Tidak Beralkohol,2020,105.62666666666668
KOTA BANDUNG,2020,Minuman yang Tidak Beralkohol,2020,104.98666666666666
KOTA CIREBON,2020,Minuman yang Tidak Beralkohol,2020,108.125
KOTA BEKASI,2020,Minuman yang Tidak Beralkohol,2020,102.28249999999998
KOTA DEPOK,2020,Minuman yang Tidak Beralkohol,2020,104.46083333333335
KOTA TASIKMALAYA,2020,Minuman yang Tidak Beralkohol,2020,102.8375
CILACAP,2020,Minuman yang Tidak Beralkohol,2020,105.9375
PURWOKERTO,2020,Minuman yang Tidak Beralkohol,2020,102.95916666666666
KUDUS,2020,Minuman yang Tidak Beralkohol,2020,108.51
KOTA SURAKARTA,2020,Minuman yang Tidak Beralkohol,2020,108.495
KOTA SEMARANG,2020,Minuman yang Tidak Beralkohol,2020,109.80166666666666
KOTA TEGAL,2020,Minuman yang Tidak Beralkohol,2020,102.29083333333332
KOTA YOGYAKARTA,2020,Minuman yang Tidak Beralkohol,2020,107.36583333333334
JEMBER,2020,Minuman yang Tidak Beralkohol,2020,101.46416666666666
BANYUWANGI,2020,Minuman yang Tidak Beralkohol,2020,105.46333333333332
SUMENEP,2020,Minuman yang Tidak Beralkohol,2020,103.38166666666667
KOTA KEDIRI,2020,Minuman yang Tidak Beralkohol,2020,110.59083333333336
KOTA MALANG,2020,Minuman yang Tidak Beralkohol,2020,103.28916666666667
KOTA PROBOLINGGO,2020,Minuman yang Tidak Beralkohol,2020,103.495
KOTA MADIUN,2020,Minuman yang Tidak Beralkohol,2020,103.2825
KOTA SURABAYA,2020,Minuman yang Tidak Beralkohol,2020,103.2375
KOTA TANGERANG,2020,Minuman yang Tidak Beralkohol,2020,108.74833333333336
KOTA CILEGON,2020,Minuman yang Tidak Beralkohol,2020,101.41166666666668
KOTA SERANG,2020,Minuman yang Tidak Beralkohol,2020,112.165
