province,year,internet_pct,poverty_rate,calorie_per_capita,protein_per_capita
NUSA TENGGARA TIMUR,2021,68.45,20.44,2020.33,57.44
NUSA TENGGARA TIMUR,2022,74.23,20.23,1974.12,56.36
NUSA TENGGARA TIMUR,2023,78.88,19.96,1938.18,54.54
NUSA TENGGARA TIMUR,2024,82.45,19.02,1930.43,55.06
PAPUA,2018,35.26,26.8,1842.23,44.04
PAPUA,2019,35.26,26.8,1863.07,44.66
PAPUA,2020,35.25,26.8,1914.12,46.52
PAPUA,2021,35.26,27.38,1879.71,44.94
PAPUA,2022,35.14,26.8,1902.04,45.07
PAPUA,2023,38.71,26.03,1902.72,46.8
PAPUA,2024,81.99,18.09,1782.9,54.73
PAPUA BARAT,2018,78.32,21.43,1944.26,56.48
PAPUA BARAT,2019,78.32,21.43,1922.27,56.6
PAPUA BARAT,2020,72.62,21.7,1902.71,55.16
PAPUA BARAT,2021,74.08,21.82,1911.04,54.82
PAPUA BARAT,2022,78.32,21.43,1879.75,55.32
PAPUA BARAT,2023,82.05,20.49,1859.62,54.62
PAPUA BARAT,2024,85.51,21.09,1769.8,51.78
RIAU,2018,91.01,6.84,2079.67,58.47
RIAU,2019,91.01,6.84,2068.89,58.24
RIAU,2020,80.61,7.04,2076.15,59.41
RIAU,2021,86.45,7.0,2079.53,58.04
RIAU,2022,91.01,6.84,2022.05,59.69
RIAU,2023,93.25,6.68,2048.04,59.97
RIAU,2024,94.16,6.36,2017.1,59.16
SULAWESI BARAT,2018,82.09,11.5,2042.54,55.08
SULAWESI BARAT,2019,82.09,11.5,2119.26,58.79
SULAWESI BARAT,2020,66.03,11.5,2074.92,57.71
SULAWESI BARAT,2021,75.32,11.85,2098.41,58.49
SULAWESI BARAT,2022,82.09,11.92,2082.99,61.4
SULAWESI BARAT,2023,84.56,11.49,2099.73,59.94
SULAWESI BARAT,2024,89.67,10.71,2068.7,60.03
SULAWESI SELATAN,2018,88.33,8.66,2183.61,63.03
SULAWESI SELATAN,2019,88.33,8.66,2139.38,63.21
SULAWESI SELATAN,2020,77.23,8.99,2093.31,61.47
SULAWESI SELATAN,2021,82.36,8.53,2144.64,63.24
SULAWESI SELATAN,2022,88.33,8.66,2077.92,64.18
SULAWESI SELATAN,2023,89.52,8.7,2110.28,64.14
SULAWESI SELATAN,2024,92.18,7.77,2063.99,63.63
SULAWESI TENGAH,2018,82.23,12.3,2087.03,57.9
SULAWESI TENGAH,2019,82.23,12.3,2017.54,57.09
SULAWESI TENGAH,2020,68.7,13.06,2039.84,57.28
SULAWESI TENGAH,2021,76.51,12.18,2008.55,56.3
SULAWESI TENGAH,2022,82.23,12.3,2001.12,58.12
SULAWESI TENGAH,2023,84.61,12.41,2055.42,59.04
SULAWESI TENGAH,2024,87.94,11.04,2032.8,60.58
SULAWESI TENGGARA,2018,87.6,11.43,2125.18,62.0
SULAWESI TENGGARA,2019,87.6,11.43,2083.17,61.16
SULAWESI TENGGARA,2020,75.87,11.69,2027.62,60.95
SULAWESI TENGGARA,2021,81.83,11.74,2046.29,60.92
SULAWESI TENGGARA,2022,87.6,11.27,1948.63,60.39
SULAWESI TENGGARA,2023,88.69,11.43,2019.29,61.37
SULAWESI TENGGARA,2024,91.7,10.63,1955.09,60.98
SULAWESI UTARA,2018,83.54,7.36,2208.57,65.09
SULAWESI UTARA,2019,83.54,7.36,2148.4,64.19
SULAWESI UTARA,2020,78.5,7.78,2152.32,64.74
SULAWESI UTARA,2021,81.57,7.36,2109.13,63.39
SULAWESI UTARA,2022,83.54,7.34,2154.56,68.06
SULAWESI UTARA,2023,85.86,7.38,2104.76,65.22
SULAWESI UTARA,2024,89.31,6.7,2011.68,63.62
SUMATERA BARAT,2018,87.52,6.04,2156.7,59.01
SUMATERA BARAT,2019,87.52,6.04,2131.23,58.66
SUMATERA BARAT,2020,74.62,6.56,2109.93,57.92
SUMATERA BARAT,2021,82.29,6.04,2135.3,58.39
SUMATERA BARAT,2022,87.52,6.04,2109.43,59.24
SUMATERA BARAT,2023,89.92,5.95,2086.06,58.68
SUMATERA BARAT,2024,91.89,5.42,2032.94,57.79
SUMATERA SELATAN,2018,85.79,11.95,2134.53,59.34
SUMATERA SELATAN,2019,85.79,11.95,2121.99,59.9
SUMATERA SELATAN,2020,74.85,12.98,2127.77,59.85
SUMATERA SELATAN,2021,80.95,12.79,2232.11,63.62
SUMATERA SELATAN,2022,85.79,11.95,2182.47,65.18
SUMATERA SELATAN,2023,89.91,11.78,2191.06,65.1
SUMATERA SELATAN,2024,90.94,10.51,2196.16,66.43
SUMATERA UTARA,2018,86.61,8.33,2184.97,63.38
SUMATERA UTARA,2019,86.61,8.33,2177.35,63.49
SUMATERA UTARA,2020,74.12,9.14,2121.57,62.57
SUMATERA UTARA,2021,81.1,8.49,2149.23,63.26
SUMATERA UTARA,2022,86.61,8.33,2123.41,64.65
SUMATERA UTARA,2023,89.66,8.15,2093.67,62.91
