Kabupaten/Kota,,,,,,
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Rokok dan Tembakau Per Kabupaten/kota (Satuan Komoditas),,,,,
,ROKOK DAN TEMBAKAU,Rokok kretek filter,Rokok kretek tanpa filter,Rokok putih,Tembakau,Rokok dan tembakau Lainnya
Kutai Kartanegara,0,18.222,0.662,2.191,0.01,0.016
Kutai Timur,0,23.133,2.75,0.978,0,0.229
Berau,0,19.368,0.561,0.303,-,0.12
Penajam Paser Utara,0,21.809,0.683,0.968,0.006,0.069
Mahakam Ulu,0,14.914,0.425,6.195,0.121,0.047
Kota Balikpapan,0,10.486,0.395,1.203,0.001,0.484
Kota Samarinda,0,11.627,0.5,0.121,0.007,0.13
Kota Bontang,0,10.512,1.073,0.969,-,0.008
Malinau,0,15.268,1.15,4.938,0.042,0.269
Bulungan,0,18.547,0.066,2.216,0.01,0.203
Tana Tidung,0,14.218,0.298,4.301,0.003,0.066
Nunukan,0,15.572,1.287,3.961,0.031,0.002
Kota Tarakan,0,15.327,1,0.796,0.001,0.053
Bolaang Mongondow,0,16.075,2.317,2.988,0.074,0.002
Minahasa,0,15.924,0.491,0.501,0.008,0.044
Kepulauan Sangihe,0,10.413,0.566,0.125,0.018,-
Kepulauan Talaud,0,10.523,0.284,0.319,0.07,-
Minahasa Selatan,0,12.142,0.77,1.689,0.034,0.014
Minahasa Utara,0,10.058,0.134,1.227,0.03,-
Bolaang Mongondow Utara,0,13.383,0.69,0.726,0.158,-
Siau Tagulandang Biaro,0,12.323,0.107,0.361,0.03,0.004
Minahasa Tenggara,0,15.234,0.543,1.04,0.009,0.005
Bolaang Mongondow Selatan,0,14.342,0.108,4.624,0.128,0.009
Bolaang Mongondow Timur,0,24.019,0.208,0.86,0.025,-
Kota Manado,0,8.553,0.295,1.766,0.007,0.005
Kota Bitung,0,12.591,0.937,0.818,0.011,-
Kota Tomohon,0,12.129,0.713,1.172,0.003,-
Kota Kotamobagu,0,12.809,0.663,4.135,0.058,0.045
