province,year,group,sub_group,value
JAMBI,2020,2020,Rokok dan Tembakau,112.54374999999999
JAMBI,2021,2021,Jasa Pelayanan Makanan dan Minuman,105.25375000000001
JAMBI,2021,2021,Makanan,106.56500000000001
JAMBI,2021,2021,"Makanan, Minuman dan Tembakau",108.31958333333333
JAMBI,2021,2021,Minuman yang Tidak Beralkohol,104.23041666666666
JAMBI,2021,2021,Penyediaan Makanan dan Minuman / Restoran,105.25375000000001
JAMBI,2021,2021,Rokok dan Tembakau,119.11583333333333
JAMBI,2022,2022,Jasa Pelayanan Makanan dan Minuman,107.25791666666669
JAMBI,2022,2022,Makanan,116.26958333333334
JAMBI,2022,2022,"Makanan, Minuman dan Tembakau",118.1841666666667
JAMBI,2022,2022,Minuman yang Tidak Beralkohol,111.60499999999999
JAMBI,2022,2022,Penyediaan Makanan dan Minuman / Restoran,107.25791666666669
JAMBI,2022,2022,Rokok dan Tembakau,130.86041666666668
JAMBI,2023,2023,Asuransi,102.155
JAMBI,2023,2023,"Informasi, Komunikasi dan Jasa Keuangan",101.66333333333333
JAMBI,2023,2023,Jasa Keuangan,88.39999999999999
JAMBI,2023,2023,Jasa Pelayanan Makanan dan Minuman,108.53875
JAMBI,2023,2023,Layanan Informasi dan Komunikasi,103.78541666666666
JAMBI,2023,2023,Makanan,117.93958333333335
JAMBI,2023,2023,"Makanan, Minuman dan Tembakau",122.3425
JAMBI,2023,2023,Minuman yang Tidak Beralkohol,118.36375000000001
JAMBI,2023,2023,Penyediaan Makanan dan Minuman / Restoran,108.53875
JAMBI,2023,2023,Peralatan Informasi dan Komunikasi,100.19874999999999
JAMBI,2023,2023,Rokok dan Tembakau,146.52000000000004
JAWA BARAT,2018,2020,Asuransi,100.0
JAWA BARAT,2018,2020,"Informasi, Komunikasi dan Jasa Keuangan",99.69142857142857
JAWA BARAT,2018,2020,Jasa Keuangan,100.00059523809523
JAWA BARAT,2018,2020,Layanan Informasi dan Komunikasi,101.03107142857142
JAWA BARAT,2018,2020,Peralatan Informasi dan Komunikasi,95.0802380952381
JAWA BARAT,2018,2021,Asuransi,100.0
JAWA BARAT,2018,2021,"Informasi, Komunikasi dan Jasa Keuangan",99.32261904761906
JAWA BARAT,2018,2021,Jasa Keuangan,99.88309523809524
JAWA BARAT,2018,2021,Layanan Informasi dan Komunikasi,101.05464285714285
JAWA BARAT,2018,2021,Peralatan Informasi dan Komunikasi,93.47476190476189
JAWA BARAT,2018,2022,Asuransi,100.0
JAWA BARAT,2018,2022,"Informasi, Komunikasi dan Jasa Keuangan",98.96642857142857
JAWA BARAT,2018,2022,Jasa Keuangan,94.73142857142855
JAWA BARAT,2018,2022,Layanan Informasi dan Komunikasi,101.16
JAWA BARAT,2018,2022,Peralatan Informasi dan Komunikasi,93.465
JAWA BARAT,2020,2020,Jasa Pelayanan Makanan dan Minuman,106.83107142857143
JAWA BARAT,2020,2020,Makanan,104.73642857142859
JAWA BARAT,2020,2020,"Makanan, Minuman dan Tembakau",105.79035714285715
JAWA BARAT,2020,2020,Minuman yang Tidak Beralkohol,105.82547619047618
JAWA BARAT,2020,2020,Penyediaan Makanan dan Minuman / Restoran,106.83107142857143
JAWA BARAT,2020,2020,Rokok dan Tembakau,112.23845238095237
JAWA BARAT,2021,2021,Jasa Pelayanan Makanan dan Minuman,109.69464285714287
JAWA BARAT,2021,2021,Makanan,107.1784523809524
JAWA BARAT,2021,2021,"Makanan, Minuman dan Tembakau",108.37083333333332
JAWA BARAT,2021,2021,Minuman yang Tidak Beralkohol,108.48166666666667
JAWA BARAT,2021,2021,Penyediaan Makanan dan Minuman / Restoran,109.69464285714287
JAWA BARAT,2021,2021,Rokok dan Tembakau,115.81321428571428
JAWA BARAT,2022,2022,Jasa Pelayanan Makanan dan Minuman,113.85095238095239
JAWA BARAT,2022,2022,Makanan,114.14
JAWA BARAT,2022,2022,"Makanan, Minuman dan Tembakau",115.18535714285713
JAWA BARAT,2022,2022,Minuman yang Tidak Beralkohol,111.97404761904762
JAWA BARAT,2022,2022,Penyediaan Makanan dan Minuman / Restoran,113.85095238095239
JAWA BARAT,2022,2022,Rokok dan Tembakau,124.03535714285714
JAWA BARAT,2023,2023,Asuransi,100.0
JAWA BARAT,2023,2023,"Informasi, Komunikasi dan Jasa Keuangan",99.17130952380953
JAWA BARAT,2023,2023,Jasa Keuangan,94.73142857142855
JAWA BARAT,2023,2023,Jasa Pelayanan Makanan dan Minuman,116.8679761904762
JAWA BARAT,2023,2023,Layanan Informasi dan Komunikasi,101.4609523809524
JAWA BARAT,2023,2023,Makanan,119.70464285714286
JAWA BARAT,2023,2023,"Makanan, Minuman dan Tembakau",121.41654761904762
JAWA BARAT,2023,2023,Minuman yang Tidak Beralkohol,115.94619047619048
JAWA BARAT,2023,2023,Penyediaan Makanan dan Minuman / Restoran,116.8679761904762
JAWA BARAT,2023,2023,Peralatan Informasi dan Komunikasi,93.48690476190475
JAWA BARAT,2023,2023,Rokok dan Tembakau,136.03869047619048
JAWA TENGAH,2018,2020,Asuransi,101.20000000000002
JAWA TENGAH,2018,2020,"Informasi, Komunikasi dan Jasa Keuangan",100.251
JAWA TENGAH,2018,2020,Jasa Keuangan,100.0
JAWA TENGAH,2018,2020,Layanan Informasi dan Komunikasi,101.16566666666668
JAWA TENGAH,2018,2020,Peralatan Informasi dan Komunikasi,98.07116666666667
JAWA TENGAH,2018,2021,Asuransi,104.07000000000001
JAWA TENGAH,2018,2021,"Informasi, Komunikasi dan Jasa Keuangan",99.534
JAWA TENGAH,2018,2021,Jasa Keuangan,99.93783333333332
JAWA TENGAH,2018,2021,Layanan Informasi dan Komunikasi,101.19566666666667
JAWA TENGAH,2018,2021,Peralatan Informasi dan Komunikasi,95.49733333333332
JAWA TENGAH,2018,2022,Asuransi,104.07000000000001
JAWA TENGAH,2018,2022,"Informasi, Komunikasi dan Jasa Keuangan",99.65933333333332
JAWA TENGAH,2018,2022,Jasa Keuangan,97.23
JAWA TENGAH,2018,2022,Layanan Informasi dan Komunikasi,101.9205
JAWA TENGAH,2018,2022,Peralatan Informasi dan Komunikasi,94.89250000000001
JAWA TENGAH,2020,2020,Jasa Pelayanan Makanan dan Minuman,105.57316666666668
JAWA TENGAH,2020,2020,Makanan,104.7405
JAWA TENGAH,2020,2020,"Makanan, Minuman dan Tembakau",105.68499999999999
JAWA TENGAH,2020,2020,Minuman yang Tidak Beralkohol,107.00699999999999
JAWA TENGAH,2020,2020,Penyediaan Makanan dan Minuman / Restoran,105.57316666666668
JAWA TENGAH,2020,2020,Rokok dan Tembakau,110.71416666666667
JAWA TENGAH,2021,2021,Jasa Pelayanan Makanan dan Minuman,107.63566666666665
JAWA TENGAH,2021,2021,Makanan,106.24716666666669
JAWA TENGAH,2021,2021,"Makanan, Minuman dan Tembakau",107.6765
JAWA TENGAH,2021,2021,Minuman yang Tidak Beralkohol,108.98033333333333
JAWA TENGAH,2021,2021,Penyediaan Makanan dan Minuman / Restoran,107.63566666666665
JAWA TENGAH,2021,2021,Rokok dan Tembakau,115.69233333333334
JAWA TENGAH,2022,2022,Jasa Pelayanan Makanan dan Minuman,113.051
JAWA TENGAH,2022,2022,Makanan,113.556
JAWA TENGAH,2022,2022,"Makanan, Minuman dan Tembakau",115.301
JAWA TENGAH,2022,2022,Minuman yang Tidak Beralkohol,114.1615
JAWA TENGAH,2022,2022,Penyediaan Makanan dan Minuman / Restoran,113.051
JAWA TENGAH,2022,2022,Rokok dan Tembakau,126.67549999999999
JAWA TENGAH,2023,2023,Asuransi,104.07000000000001
JAWA TENGAH,2023,2023,"Informasi, Komunikasi dan Jasa Keuangan",99.00983333333333
JAWA TENGAH,2023,2023,Jasa Keuangan,97.23
JAWA TENGAH,2023,2023,Jasa Pelayanan Makanan dan Minuman,116.53683333333333
JAWA TENGAH,2023,2023,Layanan Informasi dan Komunikasi,102.174
JAWA TENGAH,2023,2023,Makanan,119.93983333333333
