province,commodity,area,value
Papua pegunungan,Telur dan susu/Eggs and milk,urban,44388.0
Papua pegunungan,Sayur-sayuran/Vegetables,urban,152055.0
Papua pegunungan,Kacang-kacangan/Legumes,urban,29299.0
Papua pegunungan,Buah-buahan/Fruits,urban,47694.0
Papua pegunungan,Minyak dan kelapa/Oil and coconut,urban,3785.0
Papua pegunungan,Bahan minuman/Beverages stuffs,urban,38289.0
Papua pegunungan,Bumbu-bumbuan/Spices,urban,16935.0
Papua pegunungan,Konsumsi lainnya,urban,23934.0
Papua pegunungan,Makanan dan minuman jadi,urban,153002.0
Papua pegunungan,Rokok/Cigarettes,urban,13061.0
Papua pegunungan,Jumlah makanan/Total food,urban,1236967.0
Papua pegunungan,Perumahan dan fasilitas rumah tangga,urban,623648.0
Papua pegunungan,Aneka barang dan jasa,urban,114593.0
Papua pegunungan,Pakaian alas kaki dan tutup kepala,urban,23348.0
Papua pegunungan,Barang tahan lama,urban,15467.0
Papua pegunungan,Pajak pungutan dan asuransi,urban,25599.0
Papua pegunungan,Keperluan pesta,urban,1452.0
Papua pegunungan,Jumlah bukan makanan/Total non-food,urban,804106.0
Papua pegunungan,Jumlah/Total,urban,2041073.0
Papua pegunungan,Padi-padian/Cereals,rural,117331.0
Papua pegunungan,Umbi-umbian/Tubers,rural,371786.0
Papua pegunungan,Ikan/udang/cumi/kerang,rural,38309.0
Papua pegunungan,Daging/Meat,rural,10143.0
Papua pegunungan,Telur dan susu/Eggs and milk,rural,33923.0
Papua pegunungan,Sayur-sayuran/Vegetables,rural,179464.0
Papua pegunungan,Kacang-kacangan/Legumes,rural,681.0
Papua pegunungan,Buah-buahan/Fruits,rural,41523.0
Papua pegunungan,Minyak dan kelapa/Oil and coconut,rural,31773.0
Papua pegunungan,Bahan minuman/Beverages stuffs,rural,5616.0
Papua pegunungan,Bumbu-bumbuan/Spices,rural,27619.0
Papua pegunungan,Konsumsi lainnya,rural,26685.0
Papua pegunungan,Makanan dan minuman jadi,rural,48379.0
Papua pegunungan,Rokok/Cigarettes,rural,70367.0
Papua pegunungan,Jumlah makanan/Total food,rural,1151559.0
Papua pegunungan,Perumahan dan fasilitas rumah tangga,rural,350526.0
Papua pegunungan,Aneka barang dan jasa,rural,131221.0
Papua pegunungan,Pakaian alas kaki dan tutup kepala,rural,28801.0
Papua pegunungan,Barang tahan lama,rural,22012.0
Papua pegunungan,Pajak pungutan dan asuransi,rural,17118.0
Papua pegunungan,Keperluan pesta,rural,357.0
Papua pegunungan,Jumlah bukan makanan/Total non-food,rural,553248.0
Papua pegunungan,Jumlah/Total,rural,1704808.0
Papua pegunungan,Padi-padian/Cereals,total,119763.0
Papua pegunungan,Umbi-umbian/Tubers,total,354594.0
Papua pegunungan,Ikan/udang/cumi/kerang,total,4792.0
Papua pegunungan,Daging/Meat,total,101937.0
Papua pegunungan,Telur dan susu/Eggs and milk,total,3466.0
Papua pegunungan,Sayur-sayuran/Vegetables,total,177535.0
Papua pegunungan,Kacang-kacangan/Legumes,total,8393.0
Papua pegunungan,Buah-buahan/Fruits,total,41958.0
Papua pegunungan,Minyak dan kelapa/Oil and coconut,total,32201.0
Papua pegunungan,Bahan minuman/Beverages stuffs,total,54902.0
Papua pegunungan,Bumbu-bumbuan/Spices,total,26867.0
Papua pegunungan,Konsumsi lainnya,total,26491.0
Papua pegunungan,Makanan dan minuman jadi,total,55742.0
Papua pegunungan,Rokok/Cigarettes,total,74607.0
Papua pegunungan,Jumlah makanan/Total food,total,1157571.0
Papua pegunungan,Perumahan dan fasilitas rumah tangga,total,36975.0
Papua pegunungan,Aneka barang dan jasa,total,13005.0
Papua pegunungan,Pakaian alas kaki dan tutup kepala,total,28418.0
Papua pegunungan,Barang tahan lama,total,21551.0
Papua pegunungan,Pajak pungutan dan asuransi,total,17715.0
Papua pegunungan,Keperluan pesta,total,3421.0
Papua pegunungan,Jumlah bukan makanan/Total non-food,total,570904.0
Papua pegunungan,Jumlah/Total,total,1728475.0
